attack,gt_uuid,status,gt_type,gt_name,our_type,our_name,our_cmdline,type_match
Nginx_Drakon_APT,dfb6458c-77de-11e9-b129-6c2b597e484c,direct,process,None dd,process,dd,dd if=/dev/random of=eraseme bs=1024 count=1 seek=1048576,1
Nginx_Drakon_APT,908c1871-9556-355c-9695-1d084c35a52a,direct,file,None,file,/etc/libmap.conf,,1
Nginx_Drakon_APT,00f33638-7043-11e9-b41b-d4ae52c1dbd3,direct,process,None nginx,process,nginx,,1
Nginx_Drakon_APT,00f3278e-7043-11e9-b41b-d4ae52c1dbd3,direct,process,None nginx,process,nginx,,1
Nginx_Drakon_APT,c45124d6-77e1-11e9-b41b-d4ae52c1dbd3,direct,process,None hostname,process,hostname,hostname,1
Nginx_Drakon_APT,0ce6def9-caa1-795f-a1ca-8b642f79d07d,direct,file,None,file,/var/log/nginx-error.log,,1
Nginx_Drakon_APT,ced86807-77e2-11e9-a28b-d4ae52c1dbd3,direct,netflow,128.55.12.51:80->128.55.12.167:58356,netflow,128.55.12.51:80->128.55.12.167:58356,,1
Nginx_Drakon_APT,ced88597-77e2-11e9-a28b-d4ae52c1dbd3,direct,netflow,128.55.12.51:40039->98.23.182.25:80,netflow,128.55.12.51:40039->98.23.182.25:80,,1
Nginx_Drakon_APT,a6f2f9e7-6ebd-e25b-bd6e-94157be27558,direct,file,None,file,/,,1
Nginx_Drakon_APT,00f2fdb9-7043-11e9-b41b-d4ae52c1dbd3,direct,process,None nginx,process,nginx,,1
Nginx_Drakon_APT,e15f7631-77e1-11e9-a28b-d4ae52c1dbd3,direct,process,None hostname,process,hostname,hostname,1
Nginx_Drakon_APT,7281a09a-77df-11e9-b41b-d4ae52c1dbd3,direct,netflow,128.55.12.75:80->128.55.12.167:55620,netflow,128.55.12.75:80->128.55.12.167:55620,,1
Nginx_Drakon_APT,edad853a-31d9-ed54-9931-889cc4ed15b6,direct,file,None,file,/dev/tty,,1
Nginx_Drakon_APT,416ab837-8e42-6d58-828e-6976586d8e68,direct,file,None,file,/dev/random,,1
Nginx_Drakon_APT,b3be35bb-7042-11e9-a28b-d4ae52c1dbd3,direct,process,None nginx,process,nginx,,1
Nginx_Drakon_APT,b3bd3a42-7042-11e9-a28b-d4ae52c1dbd3,direct,netflow,128.55.12.51:80->128.55.12.167:58340,netflow,128.55.12.51:80->128.55.12.167:58340,,1
