attack,gt_uuid,status,gt_type,gt_name,our_type,our_name,our_cmdline,type_match,name_match,mismatch_reason,resolved_uuid
fivedirections_e3_browser_0412,e20f7c55-319d-4af5-bc62-11317b9dec3c,direct,netflow,128.55.12.67:61082->135.84.161.202:80,netflow,128.55.12.67:61082->135.84.161.202:80,,1,1,,e20f7c55-319d-4af5-bc62-11317b9dec3c
fivedirections_e3_excel_0409,86371755-c67e-43fb-a2af-2feecded22ba,thread→process,process,None None,process,cmd.exe,"""cmd.exe""",1,1,,3e1c1557-0411-45d1-82a3-f981a37faf80
fivedirections_e3_excel_0409,d02980a5-44ac-47e2-8a9f-bf14c10a8d5e,direct,file,"{""Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Desktop\\\\~$BoviaBenefitsOE.xlsm""}",file,Device\HarddiskVolume2\Users\admin\Desktop\~$BoviaBenefitsOE.xlsm,,1,1,,d02980a5-44ac-47e2-8a9f-bf14c10a8d5e
fivedirections_e3_excel_0409,4d884ac3-1123-40e3-a5de-03cc05c2e203,direct,process,"None \""C:\\Program Files (x86)\\Microsoft Office\\Office15\\WINWORD.EXE\"" /n \""C:\\Users\\admin\\Documents\\MissleAlert.rtf\"" /o \""\""",process,winword.exe,"""C:\Program Files (x86)\Microsoft Office\Office15\WINWORD.EXE"" /n ""C:\Users\admin\Documents\MissleAlert.rtf"" /o """"",1,0,"gt_exe=\""c:\\program",4d884ac3-1123-40e3-a5de-03cc05c2e203
fivedirections_e3_excel_0409,9fa60dbe-d055-4223-b807-8e400ecdf222,thread→process,process,None None,process,None,,1,1,,42bbefc0-ad77-428a-aa41-799788a526d3
fivedirections_e3_excel_0409,ffd02360-2b85-4e38-8f34-3241e4afa670,thread→process,process,None None,process,conhost.exe,\??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1,1,1,,cdcf8c63-12cb-4227-8212-21c360db7dab
fivedirections_e3_excel_0409,eb4d8622-845b-44f8-a581-a2cfa2a3e219,thread→process,process,None None,process,svchost.exe,C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p,1,1,,00529177-dc71-480d-ad65-2e2d26303026
fivedirections_e3_excel_0409,9cdcaa42-32fa-4b4c-bff6-e2f3ebf12aa9,direct,file,"{""Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\mydocs""}",file,Device\HarddiskVolume2\Users\admin\Documents\mydocs,,1,1,,9cdcaa42-32fa-4b4c-bff6-e2f3ebf12aa9
fivedirections_e3_excel_0409,40b0e1f9-9e82-40c6-a67e-441df614cab4,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\mydocs""}",file,\Device\HarddiskVolume2\Users\admin\Documents\mydocs,,1,1,,40b0e1f9-9e82-40c6-a67e-441df614cab4
fivedirections_e3_excel_0409,b9a9fb5f-b199-4c69-8a34-13f344106820,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Documents\\\\mydocs\\\\""}",file,\Device\HarddiskVolume2\Users\admin\Documents\mydocs\,,1,0,path_diff,b9a9fb5f-b199-4c69-8a34-13f344106820
