attack,gt_uuid,status,gt_type,gt_name,our_type,our_name,type_match
fivedirections_e5_bits_0515,644d3f91-455a-4297-be26-124a3c2c608d,thread→process,process,None None,process,ctfhost2.exe,1
fivedirections_e5_bits_0515,82d9c7ed-1aa0-4250-b926-e614d99c54b6,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\AppData\\\\Local\\\\Temp\\\\ctfhost2.exe.Manifest""}",file,\Device\HarddiskVolume2\Users\admin\AppData\Local\Temp\ctfhost2.exe.Manifest,1
fivedirections_e5_bits_0515,a1d2f6b4-1632-4c55-be4e-9ceb14ca0aa2,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\AppData\\\\Local\\\\Temp\\\\ctfhost2.exe.Local""}",file,\Device\HarddiskVolume2\Users\admin\AppData\Local\Temp\ctfhost2.exe.Local,1
fivedirections_e5_bits_0515,8aa65624-312c-42d5-a757-56e01152fc22,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\WINDOWS\\\\system32\\\\ctfhost2.exe""}",file,\Device\HarddiskVolume2\WINDOWS\system32\ctfhost2.exe,1
fivedirections_e5_bits_0515,1df9170f-1636-4779-b5d2-d631fc0cdfb5,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\Desktop\\\\20190502_elevate2_windows_Release""}",file,\Device\HarddiskVolume2\Users\admin\Desktop\20190502_elevate2_windows_Release,1
fivedirections_e5_bits_0515,cb33d920-f94e-47f1-9e54-16f4a004ef1b,thread→process,process,None None,process,,1
fivedirections_e5_bits_0515,b399e0ad-7b1d-4dd7-b932-fbfc05219d90,direct,file,"{""\\\\Device\\\\HarddiskVolume2\\\\Users\\\\admin\\\\screenshot.png""}",file,\Device\HarddiskVolume2\Users\admin\screenshot.png,1
fivedirections_e5_bits_0515,13aa8364-8657-4657-9805-b4598f0ee901,thread→process,process,None None,process,msmpeng.exe,1
fivedirections_e5_bits_0515,7628c611-5590-4087-91d7-9deb38fac2a9,thread→process,process,None None,process,firefox.exe,1
fivedirections_e5_bits_0515,546fd034-87a2-4127-a37c-59d84b8fd29e,direct,process,None c:\\windows\\system32\\svchost.exe -k netsvcs -p -s BITS,process,svchost.exe,1
