attack,gt_uuid,status,gt_type,gt_name,our_type,our_name,our_cmdline,type_match
THEIA_1_Firefox_Drakon_APT_BinFmt_Elevate_Inject,b51ca62d-a770-574b-acee-5b34b7ec46f2,direct,process,/usr/sbin/sshd /usr/sbin/sshd -D,process,/usr/sbin/sshd,/usr/sbin/sshd -D,1
THEIA_1_Firefox_Drakon_APT_BinFmt_Elevate_Inject,5faec575-d42b-57c9-b222-800d68daaa74,direct,process,/usr/sbin/sshd sshd: [accepted]    ,process,/usr/sbin/sshd,sshd: [accepted]    ,1
THEIA_1_Firefox_Drakon_APT_BinFmt_Elevate_Inject,54e97188-0a55-5521-99cd-e44a09c26d62,direct,process,/usr/sbin/sshd sshd: admin [priv]  ,process,/usr/sbin/sshd,sshd: admin [priv]  ,1
THEIA_1_Firefox_Drakon_APT_BinFmt_Elevate_Inject,2112d882-f8c1-5228-a224-8448d17e1284,direct,process,/usr/sbin/sshd sshd: admin [priv]  ,process,/usr/sbin/sshd,sshd: admin [priv]  ,1
THEIA_1_Firefox_Drakon_APT_BinFmt_Elevate_Inject,b45850b8-0c0c-516a-9426-6155103b5658,direct,process,/usr/sbin/sshd sshd: admin@pts/3   ,process,/usr/sbin/sshd,sshd: admin@pts/3   ,1
THEIA_1_Firefox_Drakon_APT_BinFmt_Elevate_Inject,84053d48-9767-59ae-a797-bac5e4ed3368,direct,process,/usr/sbin/sshd ,process,/usr/sbin/sshd,/usr/sbin/sshd -D,1
THEIA_1_Firefox_Drakon_APT_BinFmt_Elevate_Inject,6ccfb5a3-9cb2-5689-ba97-7776fbb241f0,direct,process,/usr/local/lib/firefox-54.0.1/firefox firefox,process,/usr/local/lib/firefox-54.0.1/firefox,firefox,1
THEIA_1_Firefox_Drakon_APT_BinFmt_Elevate_Inject,49eff3e1-5fd4-50ff-8c22-b12e8c7a72dd,direct,process,/usr/local/lib/firefox-54.0.1/firefox firefox,process,/usr/local/lib/firefox-54.0.1/firefox,firefox,1
THEIA_1_Firefox_Drakon_APT_BinFmt_Elevate_Inject,80370c6e-1600-8037-0ca7-67e600000000,direct,netflow,128.55.12.110:22->128.55.12.167:58983,netflow,128.55.12.110:22->128.55.12.167:58983,,1
THEIA_1_Firefox_Drakon_APT_BinFmt_Elevate_Inject,ea1a155c-e196-5fda-9f66-a7566988d863,direct,process,/usr/local/lib/firefox-54.0.1/firefox firefox,process,/usr/local/lib/firefox-54.0.1/firefox,firefox,1
